time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1701857625794041300,0.158041259765625,-0.9538478255271912,-0.29470834136009216,-0.021663881838321686,0.05340375378727913,-0.08798295259475708,-0.5942651033401489,3.0027780532836914
1701857625803826400,0.167826416015625,-0.8899041414260864,-0.3017566502094269,0.09334497153759003,0.3290901184082031,-0.040547098964452744,-0.6416358947753906,2.4197022914886475
1701857625813611500,0.177611572265625,-0.8696548342704773,-0.30870312452316284,0.12463083118200302,0.36451342701911926,-0.010639255866408348,-0.6787101626396179,2.3440310955047607
1701857625823396600,0.187396728515625,-0.8514973521232605,-0.31384164094924927,0.14850568771362305,0.39293983578681946,0.00825205072760582,-0.7091360092163086,2.2799463272094727
1701857625833181700,0.197181640625,-0.835460901260376,-0.31825801730155945,0.1656939536333084,0.41624799370765686,0.016042914241552353,-0.733836829662323,2.223304271697998
1701857625842966500,0.206966552734375,-0.8207729458808899,-0.32360324263572693,0.1765502393245697,0.4363974928855896,0.010128455236554146,-0.7550179958343506,2.1682534217834473
1701857625852751600,0.216751708984375,-0.8124670386314392,-0.32793495059013367,0.17681460082530975,0.4484334886074066,-0.009415630251169205,-0.7634968161582947,2.1291491985321045
1701857625862536700,0.22653662109375,-0.8107593059539795,-0.33186161518096924,0.16727674007415771,0.4522782862186432,-0.03997090458869934,-0.7607033252716064,2.1079165935516357
1701857625872321800,0.23632177734375,-0.8136511445045471,-0.3348340690135956,0.1522572636604309,0.4501951336860657,-0.07350616902112961,-0.7504488825798035,2.1018784046173096
1701857625882107000,0.24610693359375,-0.818368673324585,-0.3364754021167755,0.13617058098316193,0.44554975628852844,-0.10411541908979416,-0.736991822719574,2.1042356491088867
1701857625891891700,0.2558916015625,-0.8244478702545166,-0.33673518896102905,0.11914884299039841,0.4389745891094208,-0.13236981630325317,-0.7206162810325623,2.1131255626678467
1701857625901676800,0.2656767578125,-0.8375110030174255,-0.3380564749240875,0.08841705322265625,0.4200899004936218,-0.17794379591941833,-0.6951990127563477,2.1471307277679443
1701857625911461600,0.275461669921875,-0.8490413427352905,-0.33834215998649597,0.06040310859680176,0.4012540578842163,-0.21770823001861572,-0.6725809574127197,2.1822526454925537
1701857625921246700,0.285246826171875,-0.8526226282119751,-0.34028980135917664,0.046268563717603683,0.3938232660293579,-0.24263432621955872,-0.6645702123641968,2.1920952796936035
1701857625931031800,0.29503173828125,-0.8521889448165894,-0.34134823083877563,0.042784254997968674,0.3942396938800812,-0.25162598490715027,-0.6630467176437378,2.1879727840423584
1701857625940816600,0.304816650390625,-0.8492958545684814,-0.34207209944725037,0.04574407637119293,0.39948800206184387,-0.2513432800769806,-0.6656739115715027,2.174962043762207
1701857625950601700,0.314601806640625,-0.8455982208251953,-0.3431323170661926,0.05049861967563629,0.40580013394355774,-0.24897541105747223,-0.6703864336013794,2.1595966815948486
1701857625960386800,0.32438671875,-0.8424112796783447,-0.34383106231689453,0.05493171513080597,0.411224901676178,-0.24603721499443054,-0.6744565367698669,2.1466941833496094
1701857625970171600,0.334171630859375,-0.8394548892974854,-0.34406983852386475,0.059212032705545425,0.41644367575645447,-0.24261856079101562,-0.6776694655418396,2.1346917152404785
1701857625979956700,0.343956787109375,-0.8362588882446289,-0.34432855248451233,0.0634080320596695,0.42200520634651184,-0.23980648815631866,-0.6807971596717834,2.1216020584106445
1701857625989741800,0.353741943359375,-0.8332682847976685,-0.34528160095214844,0.06662428379058838,0.42662131786346436,-0.2392263412475586,-0.684481143951416,2.1096293926239014
1701857625999526700,0.363526611328125,-0.8307995796203613,-0.34686556458473206,0.06863878667354584,0.42981982231140137,-0.2407609075307846,-0.6884695887565613,2.1000397205352783
1701857626009311700,0.373311767578125,-0.8291308879852295,-0.3483216166496277,0.06992146372795105,0.431653767824173,-0.2422940582036972,-0.6918619871139526,2.0938920974731445
1701857626019096800,0.383096923828125,-0.8278694152832031,-0.35000380873680115,0.07055705040693283,0.43260982632637024,-0.24465852975845337,-0.6952303051948547,2.089498519897461
1701857626028881700,0.392881591796875,-0.8269951939582825,-0.3521287739276886,0.07028168439865112,0.43260228633880615,-0.2486344426870346,-0.6987037062644958,2.0866949558258057
1701857626038666800,0.402666748046875,-0.8269982933998108,-0.3548043966293335,0.06843970715999603,0.43070143461227417,-0.2547825276851654,-0.702069878578186,2.087552547454834
1701857626048451800,0.412451904296875,-0.8274614214897156,-0.3582347631454468,0.06560634821653366,0.4274006485939026,-0.2627852261066437,-0.7061789035797119,2.0907106399536133
1701857626058236700,0.422236572265625,-0.8276786208152771,-0.3624468147754669,0.06293751299381256,0.4238151013851166,-0.2715090215206146,-0.711970329284668,2.093614339828491
1701857626068021800,0.432021728515625,-0.8273578882217407,-0.3671005964279175,0.061185866594314575,0.42068082094192505,-0.2796436846256256,-0.719390869140625,2.0950491428375244
1701857626077806800,0.441806884765625,-0.8262247443199158,-0.37175145745277405,0.061003707349300385,0.41884613037109375,-0.2860165238380432,-0.7280333042144775,2.0936145782470703
1701857626087591700,0.451591796875,-0.8244127631187439,-0.37601611018180847,0.06228477507829666,0.4184209704399109,-0.2903312146663666,-0.7370513677597046,2.0894815921783447
1701857626097376800,0.461376708984375,-0.8221832513809204,-0.3797244131565094,0.06451410800218582,0.4191204905509949,-0.29305705428123474,-0.7456976175308228,2.083406925201416
1701857626107161900,0.471161865234375,-0.8198038935661316,-0.382864773273468,0.06707633286714554,0.42051976919174194,-0.29497161507606506,-0.7534539699554443,2.076266288757324
1701857626116946700,0.48094677734375,-0.817892849445343,-0.38550594449043274,0.06892593950033188,0.42152780294418335,-0.2971034348011017,-0.7597131133079529,2.070481061935425
1701857626126731800,0.490731689453125,-0.8167921900749207,-0.3878430128097534,0.06943418085575104,0.42143476009368896,-0.300242155790329,-0.7643919587135315,2.0674686431884766
1701857626136516900,0.500516845703125,-0.8164434432983398,-0.3900893032550812,0.0687510222196579,0.4201472997665405,-0.304328054189682,-0.7680622339248657,2.067286491394043
1701857626146301700,0.5103017578125,-0.816592276096344,-0.3922814726829529,0.06746313720941544,0.4180203378200531,-0.30861708521842957,-0.7713028192520142,2.0692059993743896
1701857626156078000,0.520078125,-0.8168867230415344,-0.3942886292934418,0.06638431549072266,0.4157230854034424,-0.3119547367095947,-0.774520218372345,2.071990728378296
1701857626165672000,0.529671875,-0.8170406222343445,-0.3957706093788147,0.0662260577082634,0.41403427720069885,-0.3131237030029297,-0.7775857448577881,2.074380874633789
1701857626175265000,0.53926513671875,-0.8168315887451172,-0.39646008610725403,0.0675102099776268,0.41357940435409546,-0.31125620007514954,-0.7803440093994141,2.0753378868103027
1701857626184857000,0.548857177734375,-0.8163232207298279,-0.39621639251708984,0.07002530992031097,0.4143977165222168,-0.3065688908100128,-0.782307505607605,2.0748543739318848
1701857626194450200,0.5584501953125,-0.8157197833061218,-0.39511755108833313,0.07311255484819412,0.416098415851593,-0.3001260757446289,-0.7830641865730286,2.0735204219818115
1701857626204044000,0.5680439453125,-0.8151516914367676,-0.39336609840393066,0.07619622349739075,0.41831204295158386,-0.293080598115921,-0.782498836517334,2.071712017059326
1701857626213637000,0.57763720703125,-0.814814567565918,-0.3912164866924286,0.07878801226615906,0.42049890756607056,-0.2862951159477234,-0.780730128288269,2.0702781677246094
1701857626223229200,0.587229248046875,-0.8148916959762573,-0.3889850974082947,0.08042292296886444,0.42210692167282104,-0.2806738018989563,-0.7779991626739502,2.070042371749878
1701857626232822300,0.596822265625,-0.8154237270355225,-0.3870536983013153,0.08087555319070816,0.42276790738105774,-0.2769559621810913,-0.7748497128486633,2.071356773376465
1701857626242416000,0.606416015625,-0.8164107203483582,-0.3857826590538025,0.08010981976985931,0.4221702516078949,-0.27551454305648804,-0.7719783782958984,2.0745601654052734
1701857626252009200,0.61600927734375,-0.8175685405731201,-0.38520386815071106,0.07888562977313995,0.4206859767436981,-0.27527543902397156,-0.7701365351676941,2.078979730606079
1701857626261601500,0.6256015625,-0.818746030330658,-0.3851093649864197,0.07781901210546494,0.41867634654045105,-0.27500465512275696,-0.7694989442825317,2.084251642227173
1701857626271194400,0.6351943359375,-0.8195639252662659,-0.38525646924972534,0.0776219516992569,0.41697394847869873,-0.2737361192703247,-0.7701143026351929,2.0887818336486816
1701857626280788200,0.644788330078125,-0.8197965621948242,-0.3854575753211975,0.07861004024744034,0.41614484786987305,-0.27111122012138367,-0.7717910408973694,2.0914337635040283
1701857626290381300,0.65438134765625,-0.819463312625885,-0.38556012511253357,0.08059603720903397,0.41632625460624695,-0.2673959732055664,-0.7740167379379272,2.091938018798828
1701857626299973600,0.6639736328125,-0.8187916278839111,-0.38536831736564636,0.08308624476194382,0.4173346161842346,-0.2630584239959717,-0.7759888768196106,2.0908100605010986
1701857626309566700,0.673566650390625,-0.8179261088371277,-0.3848572075366974,0.08578728884458542,0.41895386576652527,-0.25842320919036865,-0.777431845664978,2.0885181427001953
1701857626319160600,0.68316064453125,-0.8171671032905579,-0.38396304845809937,0.0881662368774414,0.4207576811313629,-0.25399062037467957,-0.7778049111366272,2.08605694770813
1701857626328753400,0.69275341796875,-0.816838264465332,-0.3827347457408905,0.08978810161352158,0.42216992378234863,-0.25007694959640503,-0.7769059538841248,2.0847549438476562
