time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1697638489806201000,0.197201171875,-0.372052937746048,-0.24055878818035126,0.022064216434955597,0.8962261080741882,-0.4390140771865845,-0.22032856941223145,0.7376214861869812
1697638489815794200,0.206794189453125,-0.3670743703842163,-0.24028711020946503,0.02696816436946392,0.8982155919075012,-0.4364053010940552,-0.2267920821905136,0.7254241108894348
1697638489825387000,0.216386962890625,-0.35920441150665283,-0.23704296350479126,0.0336989089846611,0.90202397108078,-0.42755889892578125,-0.23319602012634277,0.7070969343185425
1697638489834980400,0.22598046875,-0.3540599048137665,-0.23632918298244476,0.039395418018102646,0.9040122032165527,-0.42384496331214905,-0.24090054631233215,0.6945107579231262
1697638489844574500,0.235574462890625,-0.3520625829696655,-0.23779284954071045,0.04429671913385391,0.9041815400123596,-0.4242490231990814,-0.250140905380249,0.688480019569397
1697638489854167800,0.245167724609375,-0.3565358817577362,-0.2435091882944107,0.048131998628377914,0.900704562664032,-0.432100772857666,-0.26337945461273193,0.695706307888031
1697638489863760400,0.254760498046875,-0.3646356165409088,-0.2507750988006592,0.05263311043381691,0.8951996564865112,-0.441548615694046,-0.2807926833629608,0.7101919054985046
1697638489873353700,0.264353759765625,-0.36504873633384705,-0.24879397451877594,0.06392186880111694,0.8948491215705872,-0.43047547340393066,-0.30054906010627747,0.7084901928901672
1697638489882947800,0.27394775390625,-0.3605777323246002,-0.24369186162948608,0.077396921813488,0.8969992995262146,-0.41344472765922546,-0.3200243413448334,0.6967601180076599
1697638489892541200,0.283541259765625,-0.35710781812667847,-0.24189598858356476,0.08907593041658401,0.8977894186973572,-0.4040224254131317,-0.3391745090484619,0.6870442032814026
1697638489902133800,0.2931337890625,-0.3578549325466156,-0.2464473694562912,0.09489237517118454,0.895655632019043,-0.4095507264137268,-0.3536951541900635,0.6860294342041016
1697638489911727000,0.30272705078125,-0.36154744029045105,-0.2530204951763153,0.0985405370593071,0.8919382691383362,-0.4193953573703766,-0.3669198453426361,0.6912831664085388
1697638489921321200,0.3123212890625,-0.36635828018188477,-0.2601742744445801,0.09922347217798233,0.88783198595047,-0.4317368268966675,-0.375590056180954,0.6994215250015259
1697638489930914600,0.32191455078125,-0.37215912342071533,-0.2658851146697998,0.10002713650465012,0.8836273550987244,-0.440623015165329,-0.3840479254722595,0.7102235555648804
1697638489940507100,0.331507080078125,-0.3790947198867798,-0.27019843459129333,0.10158782452344894,0.8791813850402832,-0.4456440508365631,-0.3935720920562744,0.7239196300506592
