time,seconds_elapsed,z,y,x
1701881788211423000,0.091423095703125,-0.7038487792015076,-2.0753536224365234,1.0482138395309448
1701881788221016300,0.101016357421875,-0.7099572420120239,-2.2696030139923096,0.8661814332008362
1701881788230609000,0.11060888671875,-0.5937435626983643,-2.366116762161255,0.6450546979904175
1701881788240200700,0.12020068359375,-0.569309651851654,-2.3624517917633057,0.36162158846855164
1701881788249793300,0.129793212890625,-0.7111788988113403,-2.1217780113220215,-0.00015271181473508477
1701881788259386600,0.13938671875,-0.9286405444145203,-1.7149536609649658,-0.40331190824508667
1701881788268979200,0.148979248046875,-1.1607625484466553,-1.427702784538269,-0.7979192137718201
1701881788278571000,0.158571044921875,-1.3953278064727783,-1.334854006767273,-1.1387720108032227
1701881788288163600,0.16816357421875,-1.6017942428588867,-1.3128634691238403,-1.385554313659668
1701881788297757000,0.1777568359375,-1.770388126373291,-1.255443811416626,-1.5407094955444336
1701881788307349500,0.187349609375,-1.9255433082580566,-1.1760337352752686,-1.6286715269088745
1701881788316941300,0.19694140625,-1.9988449811935425,-1.0685245990753174,-1.6433318853378296
1701881788326534000,0.206533935546875,-1.745954155921936,-0.7948650121688843,-1.5529264211654663
1701881788336127200,0.216127197265625,-1.0373713970184326,-0.5566345453262329,-1.3342431783676147
1701881788345719800,0.2257197265625,-0.474017471075058,-0.18768282234668732,-1.1900831460952759
1701881788355311600,0.2353115234375,-0.3823903799057007,0.2020377367734909,-1.1986349821090698
1701881788364904200,0.244904296875,-0.2651077210903168,0.44759833812713623,-1.0593618154525757
1701881788374497500,0.25449755859375,-0.08674030750989914,0.7615737915039062,-0.8272398710250854
1701881788384090000,0.264090087890625,-0.025655584409832954,0.9582666158676147,-0.598783016204834
1701881788393682000,0.273681884765625,-0.05131116881966591,0.9448279738426208,-0.38009971380233765
1701881788403274500,0.2832744140625,-0.1441599577665329,0.7017107605934143,-0.17363333702087402
1701881788412867800,0.292867919921875,-0.2993151545524597,0.2557922899723053,0.020616095513105392
1701881788422460400,0.30246044921875,-0.5570927262306213,-0.35261157155036926,0.19913621246814728
1701881788432052000,0.312052001953125,-0.8480086922645569,-1.145491361618042,0.34451785683631897
1701881788441644800,0.321644775390625,-1.047144889831543,-2.1535420417785645,0.390942245721817
1701881788451238100,0.331238037109375,-1.0825740098953247,-3.0673694610595703,0.3799470067024231
1701881788460830700,0.340830810546875,-0.9946120381355286,-3.3336989879608154,0.3542914092540741
1701881788470422500,0.350422607421875,-0.8125795722007751,-3.1626617908477783,0.3139754831790924
1701881788480015000,0.36001513671875,-0.48012593388557434,-3.005063056945801,0.23212195932865143
1701881788489608400,0.3696083984375,-0.03665083646774292,-2.90732741355896,0.16248537600040436
1701881788499201000,0.379200927734375,0.3946073353290558,-2.860903024673462,0.07330167293548584
1701881788508792600,0.38879248046875,0.790436327457428,-2.9061057567596436,-0.05024218559265137
1701881788518385200,0.39838525390625,1.1422843933105469,-3.006284713745117,-0.23227466642856598
1701881788527978800,0.407978759765625,1.4037270545959473,-3.006284713745117,-0.4546230733394623
1701881788537571300,0.4175712890625,1.6639479398727417,-2.8938889503479004,-0.645207405090332
1701881788547163000,0.427162841796875,1.9314990043640137,-2.7228517532348633,-0.7930324673652649
1701881788556755500,0.43675537109375,2.123305082321167,-2.537154197692871,-0.9152019023895264
1701881788566348800,0.446348876953125,2.192941665649414,-2.3221359252929688,-1.0312628746032715
1701881788575941400,0.45594140625,2.1477389335632324,-2.019155502319336,-1.1509889364242554
1701881788585533200,0.465533203125,1.9999139308929443,-1.6807461977005005,-1.2670499086380005
1701881788595125800,0.475125732421875,1.794669270515442,-1.349514365196228,-1.3660072088241577
1701881788604719000,0.484718994140625,1.5662124156951904,-1.0001096725463867,-1.4368654489517212
1701881788614311700,0.494311767578125,1.3304253816604614,-0.617719292640686,-1.4832898378372192
1701881788623903500,0.503903564453125,1.1019684076309204,-0.19379130005836487,-1.5126105546951294
1701881788633496000,0.51349609375,0.9052756428718567,0.23502348363399506,-1.5138322114944458
1701881788643089400,0.52308935546875,0.7537854909896851,0.5514423847198486,-1.4771814346313477
1701881788652682000,0.532681884765625,0.6267293095588684,0.635739266872406,-1.4063230752944946
1701881788662273800,0.542273681640625,0.522885262966156,0.5135698318481445,-1.3122526407241821
1701881788671866400,0.551866455078125,0.4471401870250702,0.24968381226062775,-1.2059651613235474
1701881788681459700,0.561459716796875,0.3823903799057007,-0.08872556686401367,-1.0886825323104858
1701881788691052300,0.57105224609375,0.3164188861846924,-0.4369085133075714,-0.9591829180717468
1701881788700644000,0.58064404296875,0.24067382514476776,-0.7802046537399292,-0.8199097514152527
1701881788710236700,0.590236572265625,0.14904673397541046,-1.1015102863311768,-0.6598677635192871
1701881788719830000,0.599830078125,0.05131116881966591,-1.3189719915390015,-0.47172680497169495
1701881788729422600,0.609422607421875,-0.04153761267662048,-1.3311889171600342,-0.26159533858299255
1701881788739014400,0.619014404296875,-0.12583453953266144,-1.1503781080245972,-0.046577103435993195
1701881788748607000,0.62860693359375,-0.1844758689403534,-0.8510629534721375,0.14782503247261047
1701881788758200300,0.638200439453125,-0.1966928243637085,-0.5358657836914062,0.3054236173629761
1701881788767793000,0.64779296875,-0.14904673397541046,-0.32939937710762024,0.44103172421455383
1701881788777384700,0.657384765625,-0.0659715011715889,-0.21822518110275269,0.5509842038154602
1701881788786977300,0.666977294921875,0.0012216945178806782,-0.12048961967229843,0.6047387719154358
1701881788796570600,0.676570556640625,0.03420744836330414,-0.022754060104489326,0.6108472347259521
1701881788806163200,0.6861630859375,0.03176405653357506,0.0713164210319519,0.5705313682556152
1701881788815755000,0.695755126953125,0,0.13362284004688263,0.49356457591056824
1701881788825347600,0.70534765625,-0.045202698558568954,0.1751604527235031,0.38605546951293945
