time,seconds_elapsed,z,y,x
1697732984826790100,0.0597900390625,9.179950714111328,3.013917922973633,-1.6778520345687866
1697732984836207600,0.06920751953125,9.127080917358398,3.0433568954467773,-1.8986200094223022
1697732984845625600,0.07862548828125,8.930961608886719,3.3151800632476807,-2.3276360034942627
1697732984855043300,0.088043212890625,8.278457641601562,4.257734775543213,-3.0837008953094482
1697732984864460800,0.097460693359375,8.46976375579834,3.699320077896118,-3.2784929275512695
1697732984873878800,0.106878662109375,9.156255722045898,2.8912909030914307,-1.9934420585632324
1697732984883296500,0.116296630859375,9.437664985656738,2.490622043609619,-0.9474490284919739
1697732984892714200,0.12571435546875,9.452107429504395,2.4258229732513428,-0.9713109731674194
1697732984902132000,0.135132080078125,9.457599639892578,2.3741910457611084,-1.0427910089492798
1697732984911549700,0.1445498046875,9.456794738769531,2.3334081172943115,-1.1378159523010254
1697732984920967400,0.153967529296875,9.45296573638916,2.298454999923706,-1.2365070581436157
1697732984930385200,0.16338525390625,9.448738098144531,2.26454496383667,-1.3279949426651
1697732984939803000,0.172802978515625,9.44489860534668,2.229043960571289,-1.4126689434051514
1697732984949220600,0.182220703125,9.441566467285156,2.191693067550659,-1.491199016571045
1697732984958638300,0.191638427734375,9.437135696411133,2.1524980068206787,-1.5740419626235962
1697732984968056000,0.20105615234375,9.428513526916504,2.110502004623413,-1.6790770292282104
1697732984977474000,0.21047412109375,9.412422180175781,2.0675270557403564,-1.817147970199585
1697732984986891800,0.219891845703125,9.384981155395508,2.028649091720581,-1.994264006614685
1697732984996309500,0.2293095703125,9.343344688415527,2.00223708152771,-2.2053000926971436
1697732985005727200,0.238727294921875,9.296684265136719,1.994014024734497,-2.4012370109558105
1697732985015144700,0.248144775390625,9.255337715148926,2.0063469409942627,-2.54630708694458
1697732985024562700,0.257562744140625,9.225329399108887,2.038712978363037,-2.6281819343566895
1697732985033980400,0.26698046875,9.197735786437988,2.0915849208831787,-2.6827809810638428
1697732985043398100,0.276398193359375,9.167734146118164,2.158458948135376,-2.732050895690918
1697732985052816000,0.28581591796875,9.156349182128906,2.2061378955841064,-2.732145071029663
1697732985062233600,0.295233642578125,9.181884765625,2.2078559398651123,-2.6436240673065186
1697732985071651300,0.3046513671875,9.233768463134766,2.1835339069366455,-2.4779200553894043
1697732985081069000,0.314069091796875,9.294727325439453,2.1589341163635254,-2.2621729373931885
1697732985090486800,0.32348681640625,9.350772857666016,2.1432690620422363,-2.0346579551696777
1697732985099904500,0.332904541015625,9.395084381103516,2.1373848915100098,-1.826022982597351
1697732985109322200,0.342322265625,9.430492401123047,2.1363649368286133,-1.6346659660339355
1697732985118740000,0.351739990234375,9.460597038269043,2.1366970539093018,-1.4498399496078491
1697732985128157700,0.36115771484375,9.485604286193848,2.136215925216675,-1.2768210172653198
1697732985137575400,0.370575439453125,9.507828712463379,2.129683017730713,-1.1117639541625977
1697732985146993200,0.3799931640625,9.528812408447266,2.1168699264526367,-0.9439129829406738
1697732985156411000,0.389410888671875,9.54859447479248,2.0962328910827637,-0.7749580144882202
1697732985165828600,0.39882861328125,9.569067001342773,2.059767961502075,-0.6005780100822449
1697732985175246300,0.408246337890625,9.590349197387695,2.004962921142578,-0.41917499899864197
1697732985184664000,0.4176640625,9.610697746276855,1.9378679990768433,-0.2225870043039322
1697732985194081800,0.427081787109375,9.626651763916016,1.8702830076217651,-0.001521000056527555
1697732985203499500,0.43649951171875,9.63469123840332,1.8118970394134521,0.2452480047941208
1697732985212917200,0.445917236328125,9.642960548400879,1.735826015472412,0.4130460023880005
1697732985222335000,0.4553349609375,9.654367446899414,1.6646029949188232,0.43894198536872864
