time,seconds_elapsed,z,y,x
1701714471647900400,0.094900390625,8.30732536315918,5.176421642303467,0.602832019329071
1701714471657493800,0.10449365234375,8.238302230834961,5.2861809730529785,0.5975363850593567
1701714471667086300,0.11408642578125,8.15417766571045,5.428529739379883,0.45918238162994385
1701714471676680000,0.123679931640625,8.145524978637695,5.453037261962891,0.29190054535865784
1701714471686274000,0.133274169921875,8.219596862792969,5.344081878662109,0.22227920591831207
1701714471695867400,0.142867431640625,8.199431419372559,5.378634452819824,-0.1000024825334549
1701714471705460000,0.1524599609375,8.17912483215332,5.394012451171875,-0.42062294483184814
1701714471715053600,0.162053466796875,8.215880393981934,5.319250106811523,-0.6126004457473755
1701714471724647700,0.171647705078125,8.291120529174805,5.190800666809082,-0.6951960325241089
1701714471734241000,0.181240966796875,8.384016036987305,5.038095951080322,-0.7044495344161987
1701714471743833600,0.19083349609375,8.479487419128418,4.882795810699463,-0.6534502506256104
1701714471753427000,0.200427001953125,8.548831939697266,4.7718119621276855,-0.5636212229728699
1701714471763021300,0.210021240234375,8.569404602050781,4.742933750152588,-0.4901687800884247
1701714471772614700,0.21961474609375,8.571676254272461,4.7435455322265625,-0.44218429923057556
1701714471782207200,0.229207275390625,8.54835033416748,4.788149833679199,-0.41197696328163147
1701714471791800600,0.238800537109375,8.517419815063477,4.845577716827393,-0.37990298867225647
1701714471801395000,0.24839501953125,8.495604515075684,4.88743782043457,-0.3286897540092468
1701714471810988300,0.25798828125,8.472068786621094,4.930600166320801,-0.2891611158847809
1701714471820580900,0.267580810546875,8.447503089904785,4.973959922790527,-0.2642041742801666
1701714471830174200,0.27717431640625,8.425509452819824,5.011792182922363,-0.25123754143714905
1701714471839768600,0.2867685546875,8.409622192382812,5.038771629333496,-0.24373570084571838
1701714471849362000,0.29636181640625,8.39997673034668,5.055149555206299,-0.23715974390506744
1701714471858954500,0.30595458984375,8.391082763671875,5.069810390472412,-0.23900271952152252
1701714471868547800,0.3155478515625,8.38239574432373,5.083693027496338,-0.24881957471370697
1701714471878142000,0.325141845703125,8.375835418701172,5.094186305999756,-0.2550290524959564
1701714471887735300,0.3347353515625,8.372028350830078,5.100669860839844,-0.25037842988967896
1701714471897327900,0.344327880859375,8.36649227142334,5.110492706298828,-0.23465949296951294
1701714471906921500,0.35392138671875,8.35699462890625,5.127132892608643,-0.20864763855934143
1701714471916515600,0.363515625,8.344507217407227,5.149078845977783,-0.16302119195461273
1701714471926109000,0.37310888671875,8.327988624572754,5.177222728729248,-0.10662409663200378
1701714471935701500,0.382701416015625,8.309340476989746,5.2079081535339355,-0.054225433617830276
1701714471945295000,0.392295166015625,8.288639068603516,5.241024971008301,-0.02232281118631363
1701714471954889200,0.40188916015625,8.268027305603027,5.2735137939453125,-0.013399912975728512
1701714471964482600,0.411482666015625,8.253714561462402,5.295866012573242,-0.01982882060110569
1701714471974075100,0.4210751953125,8.24493408203125,5.3094892501831055,-0.02804592065513134
1701714471983668700,0.430668701171875,8.240519523620605,5.31634521484375,-0.026372570544481277
1701714471993262800,0.440262939453125,8.23943042755127,5.318081378936768,-0.01326863095164299
1701714472002856200,0.449856201171875,8.23840618133545,5.319683074951172,0.0029625052120536566
1701714472012448800,0.45944873046875,8.233070373535156,5.327910423278809,0.017311230301856995
1701714472022042000,0.4690419921875,8.221894264221191,5.345097064971924,0.028033917769789696
1701714472031636500,0.478636474609375,8.208295822143555,5.365875720977783,0.04066591337323189
1701714472041229800,0.488229736328125,8.19400405883789,5.387445449829102,0.06399759650230408
1701714472050822400,0.497822509765625,8.178409576416016,5.410582542419434,0.09792991727590561
1701714472060415700,0.507415771484375,8.161858558654785,5.43483304977417,0.13051913678646088
1701714472070010000,0.517010009765625,8.146334648132324,5.457420349121094,0.15549948811531067
1701714472079603500,0.526603515625,8.132590293884277,5.477449417114258,0.17005012929439545
1701714472089196000,0.536196044921875,8.122982025146484,5.491393566131592,0.17928078770637512
1701714472098789400,0.545789306640625,8.11828899383545,5.49812650680542,0.1854240894317627
1701714472108383700,0.5553837890625,8.117815971374512,5.498558521270752,0.19313813745975494
1701714472117976800,0.564976806640625,8.119597434997559,5.495595932006836,0.20234057307243347
1701714472127569700,0.574569580078125,8.12221908569336,5.491336822509766,0.21250173449516296
1701714472137163000,0.5841630859375,8.125903129577637,5.485363483428955,0.22555379569530487
1701714472146757000,0.593757080078125,8.128921508789062,5.480420112609863,0.23666848242282867
1701714472156350500,0.6033505859375,8.131282806396484,5.4766526222229,0.2426954209804535
1701714472165943300,0.612943359375,8.134510040283203,5.471785068511963,0.24433809518814087
1701714472175536600,0.62253662109375,8.137725830078125,5.466987133026123,0.24468040466308594
1701714472185130800,0.632130859375,8.141054153442383,5.46183967590332,0.24885062873363495
1701714472194724000,0.64172412109375,8.1438570022583,5.457191467285156,0.258918821811676
1701714472204317000,0.65131689453125,8.146197319030762,5.453007221221924,0.27307650446891785
1701714472213910300,0.66091015625,8.147704124450684,5.450130939483643,0.2852564752101898
1701714472223504400,0.67050439453125,8.148053169250488,5.449150085449219,0.29390719532966614
1701714472233097700,0.68009765625,8.147608757019043,5.449489116668701,0.29986095428466797
1701714472242690300,0.689690185546875,8.146631240844727,5.450745582580566,0.3035942614078522
1701714472252284000,0.699283935546875,8.144547462463379,5.453694820404053,0.30650532245635986
1701714472261878000,0.7088779296875,8.140560150146484,5.459389686584473,0.31101393699645996
1701714472271471400,0.718471435546875,8.133678436279297,5.469104290008545,0.3202402889728546
1701714472281064000,0.72806396484375,8.123885154724121,5.482046127319336,0.3464694023132324
1701714472290657500,0.737657470703125,8.10906982421875,5.502218246459961,0.3727676272392273
1701714472300251600,0.747251708984375,8.089377403259277,5.529521942138672,0.3959031105041504
1701714472309845000,0.756844970703125,8.073267936706543,5.551097869873047,0.4219691753387451
1701714472319437600,0.7664375,8.061967849731445,5.565540313720703,0.4469948709011078
1701714472329031000,0.776031005859375,8.057845115661621,5.569911003112793,0.46649542450904846
1701714472338625300,0.785625244140625,8.060751914978027,5.564446449279785,0.4812600910663605
1701714472348218600,0.795218505859375,8.069051742553711,5.551453113555908,0.49210497736930847
1701714472357811200,0.804811279296875,8.079379081726074,5.535762310028076,0.499350368976593
1701714472367404500,0.814404541015625,8.087899208068848,5.522426128387451,0.5090174078941345
1701714472376999000,0.8239990234375,8.092181205749512,5.514387130737305,0.5277658104896545
1701714472386592300,0.83359228515625,8.090898513793945,5.51314640045166,0.5594364404678345
1701714472396184800,0.843184814453125,8.083684921264648,5.51934289932251,0.6010794043540955
1701714472405778200,0.852778076171875,8.071667671203613,5.531727313995361,0.6469600796699524
1701714472415372500,0.86237255859375,8.057844161987305,5.54618501663208,0.6937999725341797
1701714472424965600,0.871965576171875,8.04565715789795,5.557967185974121,0.7394484877586365
1701714472434558500,0.881558349609375,8.03692626953125,5.564842224121094,0.7814968824386597
1701714472444151800,0.89115185546875,8.033130645751953,5.565261363983154,0.8167462348937988
1701714472453746000,0.900745849609375,8.034573554992676,5.5587544441223145,0.8463309407234192
1701714472463339300,0.91033935546875,8.039493560791016,5.547486305236816,0.8731109499931335
1701714472472932000,0.91993212890625,8.04536247253418,5.53471040725708,0.8997356295585632
1701714472482525400,0.929525390625,8.050577163696289,5.522407531738281,0.9282371401786804
1701714472492119600,0.93911962890625,8.054278373718262,5.512101173400879,0.9569385051727295
1701714472501713200,0.948713134765625,8.057069778442383,5.502943515777588,0.9857150912284851
1701714472511305700,0.9583056640625,8.058979988098145,5.494349956512451,1.0175155401229858
1701714472520899000,0.967899169921875,8.06041145324707,5.485755443572998,1.0519723892211914
1701714472530493200,0.9774931640625,8.061919212341309,5.476367950439453,1.0886870622634888
1701714472540086500,0.98708642578125,8.062850952148438,5.46790885925293,1.1237401962280273
1701714472549679000,0.99667919921875,8.063087463378906,5.461390495300293,1.153352975845337
1701714472559272700,1.006272705078125,8.063852310180664,5.455275058746338,1.176712989807129
1701714472568866800,1.01586669921875,8.065876007080078,5.4484686851501465,1.1942459344863892
1701714472578460200,1.025460205078125,8.069111824035645,5.440378189086914,1.2091740369796753
1701714472588052700,1.035052734375,8.073257446289062,5.430816173553467,1.224395751953125
1701714472597646300,1.044646240234375,8.077366828918457,5.421150207519531,1.24002206325531
1701714472607240400,1.054240478515625,8.081244468688965,5.411258697509766,1.2578336000442505
1701714472616833800,1.063833740234375,8.084665298461914,5.401744842529297,1.2766060829162598
1701714472626426400,1.07342626953125,8.087830543518066,5.3926472663879395,1.2948960065841675
1701714472636020000,1.08302001953125,8.091360092163086,5.384084224700928,1.308404803276062
1701714472645614000,1.092614013671875,8.094842910766602,5.376836776733398,1.316636323928833
1701714472655207400,1.10220751953125,8.098302841186523,5.369914531707764,1.3235933780670166
1701714472664800000,1.111800048828125,8.101033210754395,5.36457633972168,1.3285157680511475
1701714472674393300,1.121393310546875,8.10235595703125,5.362297058105469,1.3296512365341187
1701714472683987700,1.13098779296875,8.102335929870605,5.362604141235352,1.328540325164795
1701714472693581000,1.1405810546875,8.100927352905273,5.365121364593506,1.3269636631011963
1701714472703173600,1.150173583984375,8.098722457885742,5.368635654449463,1.326210379600525
1701714472712767200,1.159767333984375,8.096916198730469,5.371206283569336,1.3268272876739502
1701714472722361300,1.169361328125,8.096426010131836,5.371516227722168,1.328569769859314
1701714472731954700,1.17895458984375,8.097272872924805,5.370199203491211,1.3287287950515747
1701714472741547300,1.18854736328125,8.099912643432617,5.367465496063232,1.3236708641052246
1701714472751140600,1.198140625,8.104427337646484,5.363034248352051,1.3139684200286865
1701714472760735000,1.20773486328125,8.110942840576172,5.355892181396484,1.3028507232666016
1701714472770328300,1.217328369140625,8.118446350097656,5.347592353820801,1.29014253616333
1701714472779921000,1.2269208984375,8.126110076904297,5.339333534240723,1.276023030281067
1701714472789514200,1.23651416015625,8.133371353149414,5.331686019897461,1.2616549730300903
1701714472799108600,1.246108642578125,8.140048027038574,5.324811935424805,1.2475497722625732
1701714472808702000,1.255701904296875,8.146196365356445,5.318207263946533,1.2355393171310425
1701714472818294500,1.26529443359375,8.15139389038086,5.3121657371521,1.2272112369537354
1701714472827887900,1.274887939453125,8.154989242553711,5.3081536293029785,1.220678687095642
1701714472837482200,1.284482177734375,8.156940460205078,5.306285858154297,1.215742588043213
1701714472847075300,1.294075439453125,8.156612396240234,5.307413101196289,1.2130284309387207
1701714472856668200,1.303668212890625,8.154531478881836,5.311418056488037,1.2094824314117432
1701714472866261500,1.313261474609375,8.151529312133789,5.317267894744873,1.2039968967437744
1701714472875855600,1.322855712890625,8.148167610168457,5.323516368865967,1.1991381645202637
1701714472885449200,1.33244921875,8.14370059967041,5.331189155578613,1.195382833480835
1701714472895041800,1.342041748046875,8.138172149658203,5.339948654174805,1.1939414739608765
1701714472904635100,1.35163525390625,8.131392478942871,5.3499603271484375,1.1953092813491821
1701714472914229200,1.361229248046875,8.124046325683594,5.359806060791016,1.2011442184448242
1701714472923822600,1.370822509765625,8.116957664489746,5.368289947509766,1.2111332416534424
1701714472933415200,1.380415283203125,8.110219955444336,5.375280380249023,1.2251859903335571
1701714472943008800,1.3900087890625,8.103615760803223,5.381374359130859,1.242016077041626
1701714472952603000,1.399602783203125,8.09628677368164,5.388789653778076,1.2575738430023193
1701714472962196500,1.409196533203125,8.088451385498047,5.397884845733643,1.2689294815063477
1701714472971789000,1.4187890625,8.080320358276367,5.408437252044678,1.2757766246795654
1701714472981382400,1.42838232421875,8.072479248046875,5.419547080993652,1.278274655342102
1701714472990976500,1.4379765625,8.065634727478027,5.42962646484375,1.27870774269104
1701714473000569900,1.44756982421875,8.059802055358887,5.438124656677246,1.2793723344802856
1701714473010162400,1.457162353515625,8.054224014282227,5.445477485656738,1.2832140922546387
1701714473019756000,1.466756103515625,8.048806190490723,5.451633453369141,1.2910455465316772
1701714473029350100,1.47635009765625,8.043448448181152,5.457396984100342,1.3000510931015015
1701714473038943500,1.485943603515625,8.039507865905762,5.461434841156006,1.307454228401184
1701714473048536000,1.4955361328125,8.0383882522583,5.462829113006592,1.308512568473816
1701714473058129700,1.505129638671875,8.041058540344238,5.460582256317139,1.3014719486236572
1701714473067723800,1.514723876953125,8.046940803527832,5.454721450805664,1.2896342277526855
1701714473077317000,1.524317138671875,8.055452346801758,5.445115566253662,1.277030110359192
1701714473086909700,1.53390966796875,8.0638427734375,5.435375690460205,1.2655134201049805
1701714473096503300,1.54350341796875,8.070747375488281,5.427135944366455,1.2568304538726807
1701714473106097400,1.553097412109375,8.075186729431152,5.42147970199585,1.252724051475525
1701714473115690800,1.562690673828125,8.077118873596191,5.418430805206299,1.2534538507461548
1701714473125283300,1.572283447265625,8.077291488647461,5.417110443115234,1.2580338716506958
1701714473134877000,1.581876953125,8.076608657836914,5.416512489318848,1.264976143836975
1701714473144471000,1.591470947265625,8.075797080993652,5.4163408279418945,1.2708805799484253
1701714473154064400,1.601064453125,8.075472831726074,5.415703773498535,1.2756521701812744
1701714473163657000,1.610656982421875,8.075207710266113,5.415571212768555,1.277893304824829
1701714473173250600,1.62025048828125,8.074929237365723,5.41644811630249,1.2759294509887695
1701714473182844700,1.6298447265625,8.074551582336426,5.418654441833496,1.2689330577850342
1701714473192438000,1.63943798828125,8.073538780212402,5.422319412231445,1.259689211845398
1701714473202030600,1.649030517578125,8.07165241241455,5.427419662475586,1.2497727870941162
1701714473211624200,1.658624267578125,8.069412231445312,5.4322662353515625,1.2431697845458984
1701714473221218300,1.66821826171875,8.065566062927246,5.438416004180908,1.241240382194519
1701714473230811600,1.677811767578125,8.059279441833496,5.447759628295898,1.2410898208618164
1701714473240404200,1.687404296875,8.051898002624512,5.459202766418457,1.238724946975708
1701714473249997800,1.696997802734375,8.043869972229004,5.472843170166016,1.2306594848632812
1701714473259592000,1.706592041015625,8.036672592163086,5.486117362976074,1.2185134887695312
1701714473269185300,1.716185302734375,8.031168937683105,5.4965667724609375,1.2076644897460938
1701714473278777900,1.72577783203125,8.026619911193848,5.505664825439453,1.196414589881897
1701714473288371500,1.735371337890625,8.02336597442627,5.512059688568115,1.1887792348861694
1701714473297965600,1.744965576171875,8.020745277404785,5.516528129577637,1.185727596282959
1701714473307559000,1.754558837890625,8.018937110900879,5.51917028427124,1.185662865638733
1701714473317151500,1.7641513671875,8.019050598144531,5.518245220184326,1.1891965866088867
1701714473326745000,1.7737451171875,8.02130126953125,5.514369487762451,1.1919885873794556
1701714473336339200,1.783339111328125,8.027373313903809,5.5055832862854,1.1917320489883423
1701714473345932500,1.7929326171875,8.03742504119873,5.491969585418701,1.1867822408676147
1701714473355525000,1.802525146484375,8.051702499389648,5.472646236419678,1.1792458295822144
1701714473365118700,1.81211865234375,8.068867683410645,5.449276924133301,1.1701102256774902
1701714473374712800,1.821712890625,8.087688446044922,5.4234299659729,1.160205602645874
1701714473384306200,1.83130615234375,8.106583595275879,5.397392749786377,1.149712324142456
1701714473393899000,1.84089892578125,8.124346733093262,5.372802257537842,1.1394644975662231
1701714473403492400,1.850492431640625,8.140910148620605,5.349414825439453,1.1312540769577026
1701714473413086500,1.86008642578125,8.15594482421875,5.327531337738037,1.1262168884277344
1701714473422679800,1.8696796875,8.16888427734375,5.308467864990234,1.1224478483200073
1701714473432272600,1.879272705078125,8.18017864227295,5.292224884033203,1.1168879270553589
1701714473441866000,1.888865966796875,8.190500259399414,5.277932167053223,1.1088489294052124
1701714473451460000,1.898460205078125,8.200115203857422,5.265253067016602,1.0979981422424316
1701714473461053400,1.908053466796875,8.208558082580566,5.254316329956055,1.0872567892074585
1701714473470646300,1.917646240234375,8.214911460876465,5.246020317077637,1.0792945623397827
1701714473480239600,1.927239501953125,8.218037605285645,5.242366790771484,1.0732287168502808
1701714473489833700,1.936833740234375,8.218656539916992,5.241947650909424,1.0705432891845703
1701714473499427300,1.94642724609375,8.216962814331055,5.244418621063232,1.0714435577392578
1701714473509020000,1.95602001953125,8.214244842529297,5.247666835784912,1.0763617753982544
1701714473518613200,1.96561328125,8.210859298706055,5.251583099365234,1.0830729007720947
1701714473528207400,1.975207275390625,8.207301139831543,5.255624294281006,1.0904124975204468
1701714473537801000,1.984801025390625,8.20376205444336,5.259395599365234,1.0988361835479736
1701714473547393500,1.9943935546875,8.199991226196289,5.263460159301758,1.1074869632720947
1701714473556987000,2.00398681640625,8.196198463439941,5.267375946044922,1.1168999671936035
1701714473566581200,2.013581298828125,8.192095756530762,5.272101402282715,1.1246776580810547
1701714473576174600,2.023174560546875,8.189042091369629,5.275465488433838,1.1311193704605103
1701714473585767200,2.03276708984375,8.18725872039795,5.2771172523498535,1.13631272315979
1701714473595360500,2.042360595703125,8.186741828918457,5.277469635009766,1.1384021043777466
1701714473604955000,2.051954833984375,8.187982559204102,5.275303363800049,1.1395169496536255
1701714473614548200,2.06154833984375,8.189665794372559,5.272428512573242,1.1407321691513062
1701714473624140800,2.071140869140625,8.192030906677246,5.268509864807129,1.1418424844741821
1701714473633734400,2.080734375,8.194113731384277,5.264920234680176,1.1434602737426758
1701714473643328500,2.09032861328125,8.19467830657959,5.262345790863037,1.1512422561645508
1701714473652921900,2.099921875,8.190533638000488,5.265329837799072,1.1669789552688599
1701714473662514400,2.109514404296875,8.181074142456055,5.275964260101318,1.1851619482040405
1701714473672108000,2.11910791015625,8.169304847717285,5.29132604598999,1.1977962255477905
1701714473681702100,2.1287021484375,8.158303260803223,5.306972026824951,1.203545093536377
1701714473691295500,2.13829541015625,8.150948524475098,5.319057464599609,1.200028657913208
1701714473700888000,2.14788818359375,8.148488998413086,5.324225902557373,1.1937881708145142
1701714473710481700,2.157481689453125,8.14924430847168,5.324567794799805,1.1870819330215454
1701714473720075800,2.16707568359375,8.150721549987793,5.324375629425049,1.1777669191360474
1701714473729669000,2.176669189453125,8.151790618896484,5.3248090744018555,1.168372392654419
