time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1701882392233817300,0.1578173828125,0.9364671111106873,0.2648693025112152,0.17837321758270264,0.14510881900787354,-0.31251969933509827,-0.5797918438911438,-2.9280526638031006
1701882392243410000,0.167409912109375,0.9334118366241455,0.2874894142150879,0.09517017751932144,0.1924443542957306,-0.08188329637050629,-0.610554575920105,-2.760761260986328
1701882392253003000,0.1770029296875,0.9458974003791809,0.3013618588447571,0.029450897127389908,0.11658356338739395,0.01781851053237915,-0.6150285005569458,-2.890666961669922
1701882392262595600,0.186595703125,0.950040876865387,0.2953442335128784,0.017985085025429726,0.09935103356838226,0.029706956818699837,-0.6001325249671936,-2.924006938934326
1701882392272187100,0.196187255859375,0.9515456557273865,0.2818801701068878,0.03636915609240532,0.11739575117826462,-0.0036147311329841614,-0.5763686895370483,-2.8971574306488037
1701882392281779700,0.20577978515625,0.9513618350028992,0.26974794268608093,0.057499442249536514,0.13726069033145905,-0.041673753410577774,-0.5574695467948914,-2.8669419288635254
1701882392291373000,0.215373046875,0.9465814828872681,0.26666417717933655,0.08109503984451294,0.1621643751859665,-0.07920534163713455,-0.5599457025527954,-2.8250396251678467
1701882392300965400,0.22496533203125,0.9415370225906372,0.26395416259765625,0.1000571921467781,0.18391519784927368,-0.10821359604597092,-0.5631462931632996,-2.7871103286743164
1701882392310557200,0.23455712890625,0.9366356134414673,0.26088136434555054,0.11586389690637589,0.2030523270368576,-0.13195867836475372,-0.5654009580612183,-2.7530040740966797
1701882392320149800,0.244149658203125,0.9326361417770386,0.25429895520210266,0.13075242936611176,0.22005842626094818,-0.15647725760936737,-0.5608227849006653,-2.7233126163482666
1701882392329743000,0.2537431640625,0.9285091161727905,0.24655665457248688,0.144882932305336,0.23683246970176697,-0.18006810545921326,-0.554462194442749,-2.6934754848480225
1701882392339335400,0.26333544921875,0.9269663691520691,0.23807582259178162,0.15221567451953888,0.24674619734287262,-0.19355805218219757,-0.5427513122558594,-2.675295114517212
1701882392348927200,0.27292724609375,0.9281919598579407,0.229742631316185,0.1533195525407791,0.2493414729833603,-0.19803841412067413,-0.5270065665245056,-2.6703097820281982
1701882392358519600,0.28251953125,0.9304029941558838,0.22376544773578644,0.1514451801776886,0.24767650663852692,-0.1975868046283722,-0.5136998295783997,-2.673307180404663
1701882392368113000,0.29211279296875,0.9328299164772034,0.21507671475410461,0.15239708125591278,0.2456532120704651,-0.20458312332630157,-0.49625274538993835,-2.6786015033721924
1701882392377705500,0.30170556640625,0.934281587600708,0.20803819596767426,0.1555303931236267,0.24423003196716309,-0.2151017040014267,-0.48329904675483704,-2.683424949645996
1701882392387297000,0.311297119140625,0.9340351819992065,0.2027990221977234,0.16220730543136597,0.24523375928401947,-0.23107978701591492,-0.4761943519115448,-2.6843960285186768
1701882392396889600,0.3208896484375,0.9304842352867126,0.19854164123535156,0.1753256469964981,0.25306370854377747,-0.2568400204181671,-0.4759880006313324,-2.6731302738189697
1701882392406483000,0.33048291015625,0.9252309203147888,0.19397853314876556,0.19109110534191132,0.2642049193382263,-0.2867026925086975,-0.4779099225997925,-2.655583620071411
1701882392416075300,0.3400751953125,0.9191499948501587,0.1891801804304123,0.20700402557849884,0.2766287922859192,-0.3163619339466095,-0.4805832803249359,-2.6350455284118652
1701882392425667000,0.3496669921875,0.9129452705383301,0.1845284253358841,0.22156722843647003,0.2887701094150543,-0.3432683050632477,-0.48351338505744934,-2.6143276691436768
1701882392435259600,0.359259765625,0.9071388840675354,0.1797095388174057,0.23430074751377106,0.2998443841934204,-0.36693379282951355,-0.48538681864738464,-2.594938039779663
1701882392444852700,0.368852783203125,0.9025239944458008,0.17408651113510132,0.2447667121887207,0.30859947204589844,-0.387369841337204,-0.4839783012866974,-2.5794100761413574
1701882392454445300,0.3784453125,0.899557888507843,0.16747775673866272,0.25236186385154724,0.3147384524345398,-0.4035083055496216,-0.47818422317504883,-2.5680856704711914
1701882392464037000,0.388037109375,0.8979445695877075,0.16059531271457672,0.25781241059303284,0.3184925317764282,-0.41644981503486633,-0.4697170853614807,-2.5609230995178223
1701882392473629400,0.39762939453125,0.897087812423706,0.15313778817653656,0.2624550759792328,0.32077962160110474,-0.4286970794200897,-0.4590945243835449,-2.5564186573028564
1701882392483222800,0.407222900390625,0.8960318565368652,0.14387208223342896,0.2672252058982849,0.3240653872489929,-0.4415861666202545,-0.44562819600105286,-2.54915452003479
1701882392492815000,0.416815185546875,0.8987947106361389,0.13309863209724426,0.26721665263175964,0.3210110366344452,-0.4479637145996094,-0.4233485460281372,-2.5533485412597656
1701882392502407000,0.426406982421875,0.9021297693252563,0.12270977348089218,0.2667718231678009,0.3161280155181885,-0.45390117168426514,-0.40070581436157227,-2.5612118244171143
1701882392511999500,0.43599951171875,0.9052875638008118,0.1132439374923706,0.26703569293022156,0.31035807728767395,-0.4610743522644043,-0.3798595070838928,-2.5712332725524902
1701882392521592800,0.4455927734375,0.9080814123153687,0.10422380268573761,0.2684902548789978,0.30403706431388855,-0.4705254137516022,-0.36029401421546936,-2.582684278488159
1701882392531185200,0.45518505859375,0.9104546904563904,0.09338159114122391,0.27205684781074524,0.2972157597541809,-0.4850929379463196,-0.33816710114479065,-2.5949361324310303
1701882392540777000,0.46477685546875,0.912188708782196,0.0804801806807518,0.277538001537323,0.2905294895172119,-0.5041558146476746,-0.31318700313568115,-2.606199026107788
1701882392550369500,0.47436962890625,0.9130412340164185,0.06596639007329941,0.28424760699272156,0.2849692404270172,-0.5257955193519592,-0.2863614559173584,-2.61409330368042
1701882392559962600,0.483962646484375,0.9132943153381348,0.050570350140333176,0.2910621762275696,0.28039059042930603,-0.547534167766571,-0.25846147537231445,-2.6187963485717773
1701882392569555200,0.49355517578125,0.9131982922554016,0.03525441884994507,0.2970949113368988,0.2766959071159363,-0.5673008561134338,-0.2308432161808014,-2.620753526687622
1701882392579146800,0.503146728515625,0.9128660559654236,0.020221777260303497,0.30208620429039,0.27388057112693787,-0.5846084356307983,-0.20379845798015594,-2.6201589107513428
1701882392588739300,0.5127392578125,0.912661075592041,0.006351030431687832,0.30555763840675354,0.2713741660118103,-0.5982908010482788,-0.17837801575660706,-2.6187005043029785
1701882392598332700,0.522332763671875,0.9129371047019958,-0.005575900431722403,0.3076229393482208,0.2681097984313965,-0.6084031462669373,-0.1553972363471985,-2.619173526763916
1701882392607925200,0.53192529296875,0.9134351015090942,-0.015111608430743217,0.30932697653770447,0.26405444741249084,-0.6168094277381897,-0.1361718326807022,-2.6222188472747803
1701882392617516800,0.541516845703125,0.9138368368148804,-0.021954741328954697,0.31153059005737305,0.2595553398132324,-0.6250215172767639,-0.12189438939094543,-2.627540111541748
1701882392627109400,0.551109375,0.9137558341026306,-0.02726040966808796,0.3152587413787842,0.2547922730445862,-0.6356343626976013,-0.11106043308973312,-2.6342949867248535
1701882392636702700,0.56070263671875,0.9128716588020325,-0.031580179929733276,0.3209741413593292,0.2502870559692383,-0.6498205065727234,-0.10319710522890091,-2.6411826610565186
1701882392646295000,0.570294921875,0.9112027287483215,-0.034628450870513916,0.3285452127456665,0.2461065798997879,-0.6672179698944092,-0.09876769036054611,-2.6482553482055664
1701882392655886800,0.579886962890625,0.9087091088294983,-0.03651057928800583,0.33798712491989136,0.2422383576631546,-0.6879710555076599,-0.0975465252995491,-2.6555285453796387
1701882392665479200,0.589479248046875,0.905541181564331,-0.0376724898815155,0.3490629196166992,0.23818273842334747,-0.7119028568267822,-0.09821134060621262,-2.663727045059204
1701882392675072500,0.599072509765625,0.9019261598587036,-0.03835782781243324,0.36153221130371094,0.23313581943511963,-0.7387568354606628,-0.09954468160867691,-2.674258232116699
1701882392684665000,0.6086650390625,0.8978451490402222,-0.03888045251369476,0.3752775490283966,0.22700025141239166,-0.7684994339942932,-0.10072919726371765,-2.6870744228363037
1701882392694256600,0.618256591796875,0.8933079242706299,-0.03934703394770622,0.39007171988487244,0.21976546943187714,-0.8007586598396301,-0.10132384300231934,-2.702061414718628
1701882392703849200,0.62784912109375,0.8884162306785583,-0.03966933861374855,0.40535128116607666,0.2117386907339096,-0.8343225717544556,-0.10134471952915192,-2.7186007499694824
1701882392713442600,0.637442626953125,0.8836469054222107,-0.0390850268304348,0.4202556908130646,0.20254790782928467,-0.8671073317527771,-0.10134246945381165,-2.737887382507324
1701882392723035000,0.647034912109375,0.8790748119354248,-0.03802904486656189,0.4345152676105499,0.19229602813720703,-0.8986878991127014,-0.1004190519452095,-2.759338617324829
1701882392732626700,0.656626708984375,0.8749352693557739,-0.036620691418647766,0.44777360558509827,0.18068209290504456,-0.928315281867981,-0.09788410365581512,-2.7833337783813477
1701882392742219300,0.66621923828125,0.8714010715484619,-0.03488844260573387,0.4598928987979889,0.16715694963932037,-0.9556713700294495,-0.09307927638292313,-2.8107738494873047
1701882392751812400,0.675812255859375,0.8684136867523193,-0.03281964361667633,0.4709510803222656,0.1516101211309433,-0.9808608889579773,-0.08590546250343323,-2.84179949760437
1701882392761405000,0.685405029296875,0.865707516670227,-0.030681297183036804,0.4811471402645111,0.13456052541732788,-1.0042996406555176,-0.07643918693065643,-2.8751790523529053
1701882392770996700,0.694996826171875,0.863160252571106,-0.02846650779247284,0.4905354976654053,0.11627117544412613,-1.0260249376296997,-0.06497367471456528,-2.9104063510894775
1701882392780589300,0.70458935546875,0.8606216311454773,-0.026218753308057785,0.49918267130851746,0.0972607210278511,-1.0461170673370361,-0.05199630931019783,-2.9465103149414062
1701882392790182400,0.714182373046875,0.8580778241157532,-0.02397860400378704,0.5069909691810608,0.07802311331033707,-1.0642958879470825,-0.03797213360667229,-2.982595682144165
1701882392799775000,0.72377490234375,0.855597972869873,-0.02153594233095646,0.5138936638832092,0.058323051780462265,-1.0803444385528564,-0.023093529045581818,-3.0193190574645996
1701882392809366500,0.733366455078125,0.8530693650245667,-0.018667438998818398,0.5201050043106079,0.03761681914329529,-1.0947184562683105,-0.0072802165523171425,-3.0578951835632324
1701882392818959000,0.742958984375,0.8502257466316223,-0.015622890554368496,0.5259395241737366,0.01611480489373207,-1.108161211013794,0.009615289978682995,-3.097740650177002
1701882392828552400,0.752552490234375,-0.8469603657722473,0.012398705817759037,-0.5314778089523315,0.005982228554785252,-1.1208490133285522,0.027364682406187057,-3.1385457515716553
1701882392838144800,0.762144775390625,-0.8432474136352539,0.009220755659043789,-0.5367125868797302,0.02807794138789177,-1.1327708959579468,0.045706238597631454,3.1040892601013184
1701882392847736600,0.771736572265625,-0.8390747904777527,0.005928028840571642,-0.5416746139526367,0.050070103257894516,-1.1439955234527588,0.06423569470643997,3.063750743865967
1701882392857329200,0.7813291015625,-0.8343883752822876,0.0024192898999899626,-0.5464755892753601,0.0717955082654953,-1.154807209968567,0.08260013163089752,3.0237526893615723
1701882392866922200,0.790922119140625,-0.8291467428207397,-0.0013067600084468722,-0.5511910915374756,0.09328623116016388,-1.1654067039489746,0.10084090381860733,2.9840075969696045
